threshold,tp17,fp17,fn17,tn17,tp19,fp19,fn19,tn19,prec17,rec17,prec19,rec19,f117,f119,tpr17,fpr17,tpr19,fpr19
0.36,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.37,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.38,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.39,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.4,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.41000000000000003,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.42,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.43,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.44,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.45,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.46,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.47000000000000003,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.48,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.49,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.5,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.51,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.52,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.53,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.54,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.55,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.56,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.5700000000000001,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.58,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.59,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.6,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.61,0.0,0.0,860.0,2908.0,686.0,0.0,174.0,2908.0,0.0,0.0,1.0,0.7976744186046512,0.0,0.8874514877102199,0.0,0.0,0.7976744186046512,0.0
0.62,0.0,0.0,860.0,2908.0,685.0,0.0,175.0,2908.0,0.0,0.0,1.0,0.7965116279069767,0.0,0.8867313915857604,0.0,0.0,0.7965116279069767,0.0
0.63,0.0,0.0,860.0,2908.0,685.0,0.0,175.0,2908.0,0.0,0.0,1.0,0.7965116279069767,0.0,0.8867313915857604,0.0,0.0,0.7965116279069767,0.0
0.64,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.65,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.66,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.67,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.68,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.6900000000000001,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.7000000000000001,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.71,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.72,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.73,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.74,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.75,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.76,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.77,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.78,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.79,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.8,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.81,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.8200000000000001,0.0,0.0,860.0,2908.0,684.0,0.0,176.0,2908.0,0.0,0.0,1.0,0.7953488372093023,0.0,0.8860103626943004,0.0,0.0,0.7953488372093023,0.0
0.8300000000000001,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.84,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.85,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.86,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.87,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
